ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
Railing,16.61,360.17,3.4,0.72,0.03,1,2.29,0.11,3.24,7.54,0,11.24,0.02,1.5,6,4
Railing,1.99,360.17,3.4,6.01,0.03,1,2.29,0.11,4.39,0.4,11.93,0,0.18,12.09,6,4
Railing,16.61,360.17,3.4,0.72,0.03,1,2.29,0.11,4.36,6.42,11.21,0.03,0.02,1.5,6,5
Railing,16.61,360.17,3.4,0.72,0.03,1,2.29,0.11,10.4,0.37,11.21,0.03,0.02,1.5,6,5
BalconyFloor,4.17,15.01,30.91,2.87,0.72,0.11,3.29,0,0.4,7.54,0,11.24,2.06,0.79,6,5
BalconyFloor,3.53,15.01,30.91,3.39,0.72,0.11,3.29,0,0.4,7.02,11.21,0.03,2.44,0.9,6,6
BalconyFloor,1.99,15.01,30.91,6.02,0.72,0.11,3.29,0,4.39,0.4,11.21,0.03,4.33,1.48,6,6
BathroomFloor,3.54,3.25,30.91,3.38,3.32,0.11,3.29,0,0.2,7.29,0.92,7.66,11.2,1.47,8,4
Floor,1.11,1.03,30.91,10.8,10.49,0.11,3.29,0,0,0,0.72,0.75,113.34,4.68,20,33
InteriorWall,9.01,79.96,1.06,1.28,0.1,3.67,0,0.23,5.88,2.01,6.97,3.29,0.13,10.09,10,5
InteriorWall,13.9,79.96,1.06,0.83,0.1,3.67,0,0.23,5.88,2.01,10.5,0.2,0.08,6.84,8,5
InteriorWall,5.6,79.96,1.06,2.06,0.1,3.67,0,0.23,5.88,2.01,8.34,1.13,0.21,15.86,10,5
InteriorWall,6.91,79.96,1.06,1.67,0.1,3.67,0,0.23,5.88,2.01,5.2,4.67,0.17,12.98,10,5
InteriorWall,3.13,79.96,1.06,3.68,0.1,3.67,0,0.23,0.83,3.49,7.36,4.08,0.37,27.73,6,4
InteriorWall,8.36,79.96,1.06,1.38,0.1,3.67,0,0.23,6.96,0.93,6.87,3.29,0.14,10.83,6,4
InteriorWall,10.68,79.96,1.06,1.08,0.1,3.67,0,0.23,5.88,1.03,6.87,4.57,0.11,8.66,6,5
InteriorWall,6.04,79.96,1.06,1.91,0.1,3.67,0,0.23,5.88,0.2,8.24,3.19,0.19,14.78,6,6
InteriorWall,1.66,79.96,1.06,6.97,0.1,3.67,0,0.23,0.83,0.2,5.1,6.34,0.7,51.86,10,7
InteriorWall,12.4,79.96,1.06,0.93,0.1,3.67,0,0.23,6.27,1.62,10.4,0.2,0.09,7.57,6,5
InteriorWall,29.58,79.96,1.06,0.39,0.1,3.67,0,0.23,5.88,1.72,10.4,1.03,0.04,3.61,9,7
InteriorWall,1.88,79.96,1.06,6.14,0.1,3.67,0,0.23,4.51,3.39,5.2,0.2,0.61,45.77,14,7
