ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProximityDistance,TopArea,SidesArea,NumberOfFaces,ClashCount
InteriorWall,32.42,82.64,1.05,0.4,0.1,3.57,2.77,0.04,3.6,6,4
InteriorWall,14.25,82.64,1.05,0.91,0.1,3.57,2.77,0.09,7.2,6,4
InteriorWall,6.21,82.64,1.05,2.09,0.1,3.57,3.17,0.21,15.63,10,6
InteriorWall,24.94,82.64,1.05,0.52,0.1,3.57,2.67,0.05,4.43,6,4
InteriorWall,2.86,82.64,1.05,4.54,0.1,3.57,0.2,0.45,33.13,18,9
InteriorWall,24.94,82.64,1.05,0.52,0.1,3.57,2.66,0.05,4.43,6,4
InteriorWall,1.93,82.64,1.05,6.73,0.1,3.57,0.2,0.67,48.76,17,8
InteriorWall,5.92,82.64,1.05,2.19,0.1,3.57,2.67,0.22,16.37,9,5
InteriorWall,2.41,82.64,1.05,5.39,0.1,3.57,0.2,0.54,39.22,14,8
InteriorWall,5.05,82.64,1.05,2.57,0.1,3.57,0.2,0.26,19.07,6,5
InteriorWall,4.22,82.64,1.05,3.07,0.1,3.57,0.2,0.31,22.67,6,6
InteriorWall,3.73,82.64,1.05,3.48,0.1,3.57,0.2,0.35,25.55,6,5
ExteriorWall,1.65,41.32,1.05,7.86,0.2,3.57,0,1.57,57.58,18,9
ExteriorWall,1.65,41.32,1.05,7.86,0.2,3.57,0,1.57,57.58,10,8
ExteriorWall,1.12,41.32,1.05,11.56,0.2,3.57,0,2.31,83.97,6,7
ExteriorWall,1.12,41.32,1.05,11.56,0.2,3.57,0,2.31,83.97,6,5
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.37,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.71,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,2.97,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.21,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,2.76,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.21,0.04,3.55,6,3
InteriorDoor,18.01,206.6,2.02,0.72,0.04,1.85,2.87,0.03,2.81,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,1.72,0.04,3.55,6,3
ExteriorDoor,12.84,206.6,2.02,1.01,0.04,1.85,0.08,0.04,3.88,6,3
Window,1.74,206.6,1.59,7.46,0.04,2.35,0.08,0.3,35.27,6,2
Window,4.28,206.6,1.59,3.03,0.04,2.35,0.08,0.12,14.42,6,2
Window,5.13,206.6,1.59,2.53,0.04,2.35,0.09,0.1,12.06,6,2
Railing,5.13,275.47,3.74,2.53,0.03,1,0,0.08,5.11,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,4
Railing,1.74,275.47,3.74,7.46,0.03,1,0,0.22,14.99,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,5
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,5
BalconyFloor,5.13,11.98,22,2.53,0.69,0.17,0,1.74,1.09,6,5
BalconyFloor,1.74,11.98,22,7.46,0.69,0.17,0,5.15,2.77,6,6
BathroomFloor,4.35,3.95,22,2.98,2.09,0.17,0.2,6.21,1.72,6,4
Floor,1.12,1,22,11.56,8.26,0.17,0,95.53,6.74,18,34
InteriorWall,3.17,67.66,1.05,3.25,0.1,3.27,0.2,0.32,21.91,6,4
InteriorWall,3.98,67.66,1.05,2.59,0.1,3.27,0.2,0.26,17.62,6,5
InteriorWall,6.44,67.66,1.05,1.6,0.1,3.27,1.62,0.16,11.12,10,4
InteriorWall,5.54,67.66,1.05,1.86,0.1,3.27,2.01,0.19,12.83,10,5
InteriorWall,3.07,67.66,1.05,3.35,0.1,3.27,0.2,0.33,22.56,14,8
InteriorWall,3.98,67.66,1.05,2.59,0.1,3.27,0.2,0.26,17.62,6,4
InteriorWall,2.08,67.66,1.05,4.95,0.1,3.27,0.2,0.49,33.03,6,4
InteriorWall,3.69,67.66,1.05,2.79,0.1,3.27,0.2,0.28,18.9,10,4
ExteriorWall,1.62,33.83,1.05,6.37,0.2,3.27,0,1.27,42.94,10,7
ExteriorWall,1.62,33.83,1.05,6.37,0.2,3.27,0,1.27,42.94,14,7
